method,replica,inertia,silhouette,db_score,n_noise
tfidf,kmeans4,4748.984383277771,0.015808710797558207,9.034463853380675,
tfidf,kmeans5,4727.543071788618,0.01747706741331029,8.735641872834709,
tfidf,kmeans6,4709.574307829393,0.01944685433251411,8.664945584947718,
tfidf,kmeans7,4691.3030080668,0.020733650445270046,8.265937614858661,
tfidf,kmeans8,4678.41050801848,0.022696324870840355,7.964045122924702,
tfidf,kmeans9,4651.862187215097,0.025237459620153484,7.288387859590595,
tfidf,kmeans10,4642.081861971165,0.026142651173727806,7.308463913948477,
tfidf,dbscan0.3,,-0.0038692868399961998,1.7274544466209079,4962.0
tfidf,dbscan0.4,,-0.07377603202654211,1.9621311932121113,4648.0
tfidf,dbscan0.5,,-0.0471549920976886,2.4122878648622956,3794.0
tfidf,dbscan0.6,,-0.04507190054971815,3.2057759207153564,2203.0
w2v,kmeans4,26.892475128173828,0.08124971389770508,3.6638882226220777,
w2v,kmeans5,26.397769927978516,0.07620624452829361,3.6230162338158975,
w2v,kmeans6,25.96343994140625,0.06912339478731155,3.4870481791572607,
w2v,kmeans7,25.543163299560547,0.07345966249704361,3.305799401061226,
w2v,kmeans8,25.141284942626953,0.0723528191447258,3.201997341360545,
w2v,kmeans9,24.89720344543457,0.05732452869415283,3.325562419322792,
w2v,kmeans10,24.742706298828125,0.05842273309826851,3.222023531941437,
w2v,dbscan0.3,,,,0.0
w2v,dbscan0.4,,,,0.0
w2v,dbscan0.5,,,,0.0
w2v,dbscan0.6,,,,0.0
sbert,kmeans4,3194.22900390625,0.12331350892782211,3.529514943047228,
sbert,kmeans5,3127.01318359375,0.12025714665651321,3.455123751980522,
sbert,kmeans6,3067.0576171875,0.07799426466226578,3.6127769526332334,
sbert,kmeans7,3011.665283203125,0.0787302702665329,3.5287192514928103,
sbert,kmeans8,2980.87841796875,0.07860246300697327,3.3861740552051316,
sbert,kmeans9,2940.8955078125,0.07737849652767181,3.560432815343096,
sbert,kmeans10,2888.58203125,0.08707640320062637,3.3228750251199037,
sbert,dbscan0.3,,-0.07060230523347855,2.2522624028226357,943.0
sbert,dbscan0.4,,0.08079609274864197,3.349827170075174,238.0
sbert,dbscan0.5,,,,33.0
sbert,dbscan0.6,,,,5.0
