cluster_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,cms,hypoxia,sle,stroke,lupus,ee,ha,sleep,implant,sea,lowlander,erythrocytosis,maca,testosterone,placebo,sperm,prostate,fluoride,sickness,apnea
1,tb,obesity,overweight,stroke,adolescent,msm,prep,diabetes,violence,sleep,ptsd,depressive,fuel,smoking,stove,tw,government,caregiver,copd,cultural
2,tb,sputum,mutation,mycobacterium,mdr,mic,microscopy,mtb,multidrug,isoniazid,dst,syphilis,xpert,pallidum,rifampicin,candidemia,pyrazinamide,spp,ciprofloxacin,rif
3,vivax,solium,leishmania,cruzi,sediment,microscopy,mosquito,larvae,sea,taeniasis,spp,outbreak,tapeworm,lu,helminth,marine,insect,polymorphism,dengue,organic
