cluster_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,cms,sle,surgery,lupus,highlander,ee,stroke,implant,placebo,maca,testosterone,diabete,hr,il,lowlander,cochrane,sperm,rct,erythrocytosis,prostate
1,tb,obesity,diabete,hypertension,msm,overweight,alcohol,lmic,adolescent,prep,stroke,diabetes,depressive,disability,pregnant,ptsd,fuel,smoking,inequality,violence
2,tb,solium,sputum,leishmania,neurocysticercosis,cruzi,mutation,vivax,mtb,mdr,leishmaniasis,mic,spp,fasciola,dst,pallidum,helminth,syphilis,vitro,isoniazid
3,vivax,sediment,darlingi,mosquito,lu,habitat,cruzi,solium,ecosystem,polymorphism,insect,organic,microsatellite,river,leishmania,wind,braziliensis,outbreak,peruviana,abundance
