cluster_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,cms,sle,surgery,lupus,stroke,highlander,ee,implant,diabete,placebo,maca,hr,lowlander,erythrocytosis,cochrane,rct,inflammatory,prostate,fluoride,postoperative
1,tb,solium,leishmania,sputum,neurocysticercosis,leishmaniasis,cruzi,vivax,mtb,mic,mdr,spp,inflammatory,mrsa,pallidum,serotype,dst,fascioliasis,vitro,syphilis
2,vivax,sediment,darlingi,mosquito,lu,habitat,cruzi,maca,polymorphism,insect,ecosystem,organic,microsatellite,solium,river,wind,braziliensis,leishmania,outbreak,dengue
3,tb,obesity,diabete,msm,overweight,lmic,alcohol,adolescent,prep,diabetes,depressive,stroke,disability,violence,ptsd,fuel,smoking,stove,tw,government
